ano_eleicao,cargo,sg_uf,delta_esperado,descricao
2006,GOVERNADOR,AP,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (istoedinheiro.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2006,VICE-GOVERNADOR,AP,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (istoedinheiro.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2014,VICE-GOVERNADOR,AP,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (diariodoamapa.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2018,VICE-GOVERNADOR,AP,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (cnnbrasil.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
1998,GOVERNADOR,CE,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (diariodonordeste.verdesmares.com.br) e fonte_2 (folha.uol.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2002,VICE-GOVERNADOR,DF,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (psdb.org.br) e fonte_2 (bernadetealves.com) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2022,GOVERNADOR,ES,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (agazeta.com.br) e fonte_2 (montanhascapixabas.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2014,VICE-GOVERNADOR,ES,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (emdiaes.com.br) e fonte_2 (eshoje.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2022,VICE-GOVERNADOR,ES,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (agazeta.com.br) e fonte_2 (emdiaes.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
1998,GOVERNADOR,MA,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (folha.uol.com.br) e fonte_2 (jbonline.terra.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2006,GOVERNADOR,MA,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (politica.estadao.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
1998,VICE-GOVERNADOR,MA,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (folha.uol.com.br) e fonte_2 (folha.uol.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2006,VICE-GOVERNADOR,MA,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (politica.estadao.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2002,VICE-GOVERNADOR,MS,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (correiodoestado.com.br) e fonte_2 (nao ha) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2014,VICE-GOVERNADOR,MT,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (nao ha) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2006,GOVERNADOR,PI,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (cidadeverde.com) e fonte_2 (tvcanal13.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2010,GOVERNADOR,PI,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (meionorte.com) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2006,VICE-GOVERNADOR,PI,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (meionorte.com) e fonte_2 (tvcanal13.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2010,VICE-GOVERNADOR,PI,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (meionorte.com) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2010,GOVERNADOR,RJ,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (folha.uol.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2022,GOVERNADOR,RJ,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (folha.uol.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2010,VICE-GOVERNADOR,RJ,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (folha.uol.com.br) e fonte_2 (g1.globo.com) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2018,VICE-GOVERNADOR,RS,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (agenciabrasil.ebc.com.br) e fonte_2 (brasildefato.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2010,GOVERNADOR,SE,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (memoria.ebc.com.br) e fonte_2 (g1.globo.com) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2010,VICE-GOVERNADOR,SE,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (memoria.ebc.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2018,GOVERNADOR,SP,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (folha.uol.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2018,VICE-GOVERNADOR,SP,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (folha.uol.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2006,GOVERNADOR,TO,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (folha.uol.com.br) e fonte_2 (g1.globo.com) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2006,VICE-GOVERNADOR,TO,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (folha.uol.com.br) e fonte_2 (conjur.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2010,VICE-GOVERNADOR,TO,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (g1.globo.com) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
